elapsed_sec,container_name,cpu_percent,mem_used,mem_limit,mem_percent
28.989,cloud_mysql_poc1,0.43,367.8MiB,512MiB,71.84 
29.184,cloud_minio_poc1,6.45,305.5MiB,1GiB,29.83 
29.309, ,,,,
29.433,edge3-edge3-api-1,105.02,352.1MiB,2.5GiB,13.76
29.540,edge3-edge3-mysql-1,1.37,376.3MiB,1GiB,36.75
29.659,edge3-edge3-minio-1,10.01,351.4MiB,2GiB,17.16
29.782,edge2-edge2-api-1,75.68,321.5MiB,2.5GiB,12.56
29.949,edge2-edge2-minio-1,6.21,318.9MiB,2GiB,15.57
30.113,edge2-edge2-mysql-1,0.48,376.4MiB,1GiB,36.75
30.247,edge1-edge1-api-1,75.21,368.7MiB,2.5GiB,14.40
30.385,edge1-edge1-mysql-1,0.40,376.3MiB,1GiB,36.75
30.500,edge1-edge1-minio-1,5.65,326.9MiB,2GiB,15.96
30.665,cloud_api_poc1,52.61,70.92MiB,2GiB,3.46
30.832,cloud_mysql_poc1,0.43,367.8MiB,512MiB,71.84
30.963,cloud_minio_poc1,6.45,305.5MiB,1GiB,29.83
31.089,edge3-edge3-api-1,105.02,352.1MiB,2.5GiB,13.76 
31.263,edge3-edge3-mysql-1,1.37,376.3MiB,1GiB,36.75 
31.421,edge3-edge3-minio-1,10.01,351.4MiB,2GiB,17.16 
31.535,edge2-edge2-api-1,75.68,321.5MiB,2.5GiB,12.56 
31.657,edge2-edge2-minio-1,6.21,318.9MiB,2GiB,15.57 
31.785,edge2-edge2-mysql-1,0.48,376.4MiB,1GiB,36.75 
31.902,edge1-edge1-api-1,75.21,368.7MiB,2.5GiB,14.40 
32.028,edge1-edge1-mysql-1,0.40,376.3MiB,1GiB,36.75 
32.165,edge1-edge1-minio-1,5.65,326.9MiB,2GiB,15.96 
32.304,cloud_api_poc1,52.61,70.92MiB,2GiB,3.46 
32.427,cloud_mysql_poc1,0.43,367.8MiB,512MiB,71.84 
32.536,cloud_minio_poc1,6.45,305.5MiB,1GiB,29.83 
32.680, ,,,,
32.813,edge3-edge3-api-1,111.97,357.7MiB,2.5GiB,13.97
32.923,edge3-edge3-mysql-1,0.73,376.3MiB,1GiB,36.75
33.040,edge3-edge3-minio-1,7.55,353.8MiB,2GiB,17.28
33.146,edge2-edge2-api-1,114.44,326.8MiB,2.5GiB,12.76
33.296,edge2-edge2-minio-1,14.38,353.8MiB,2GiB,17.27
33.417,edge2-edge2-mysql-1,0.49,376.4MiB,1GiB,36.75
33.521,edge1-edge1-api-1,98.96,369.7MiB,2.5GiB,14.44
33.642,edge1-edge1-mysql-1,2.04,376.3MiB,1GiB,36.75
33.746,edge1-edge1-minio-1,13.50,351.2MiB,2GiB,17.15
33.860,cloud_api_poc1,53.84,73.75MiB,2GiB,3.60
34.006,cloud_mysql_poc1,1.40,367.8MiB,512MiB,71.84
34.127,cloud_minio_poc1,7.52,330.6MiB,1GiB,32.28
34.248,edge3-edge3-api-1,111.97,357.7MiB,2.5GiB,13.97 
34.417,edge3-edge3-mysql-1,0.73,376.3MiB,1GiB,36.75 
34.552,edge3-edge3-minio-1,7.55,353.8MiB,2GiB,17.28 
34.680,edge2-edge2-api-1,114.44,326.8MiB,2.5GiB,12.76 
34.810,edge2-edge2-minio-1,14.38,353.8MiB,2GiB,17.27 
34.925,edge2-edge2-mysql-1,0.49,376.4MiB,1GiB,36.75 
35.125,edge1-edge1-api-1,98.96,369.7MiB,2.5GiB,14.44 
35.308,edge1-edge1-mysql-1,2.04,376.3MiB,1GiB,36.75 
35.441,edge1-edge1-minio-1,13.50,351.2MiB,2GiB,17.15 
35.553,cloud_api_poc1,53.84,73.75MiB,2GiB,3.60 
35.662,cloud_mysql_poc1,1.40,367.8MiB,512MiB,71.84 
35.759,cloud_minio_poc1,7.52,330.6MiB,1GiB,32.28 
35.907, ,,,,
36.032,edge3-edge3-api-1,111.97,357.7MiB,2.5GiB,13.97
36.158,edge3-edge3-mysql-1,0.73,376.3MiB,1GiB,36.75
36.289,edge3-edge3-minio-1,7.55,353.8MiB,2GiB,17.28
36.405,edge2-edge2-api-1,114.44,326.8MiB,2.5GiB,12.76
36.521,edge2-edge2-minio-1,14.38,353.8MiB,2GiB,17.27
36.664,edge2-edge2-mysql-1,0.49,376.4MiB,1GiB,36.75
36.795,edge1-edge1-api-1,98.96,369.7MiB,2.5GiB,14.44
36.909,edge1-edge1-mysql-1,2.04,376.3MiB,1GiB,36.75
37.011,edge1-edge1-minio-1,13.50,351.2MiB,2GiB,17.15
37.119,cloud_api_poc1,53.84,73.75MiB,2GiB,3.60
37.229,cloud_mysql_poc1,1.40,367.8MiB,512MiB,71.84
37.383,cloud_minio_poc1,7.52,330.6MiB,1GiB,32.28
37.511,edge3-edge3-api-1,111.97,357.7MiB,2.5GiB,13.97 
37.617,edge3-edge3-mysql-1,0.73,376.3MiB,1GiB,36.75 
37.738,edge3-edge3-minio-1,7.55,353.8MiB,2GiB,17.28 
37.892,edge2-edge2-api-1,114.44,326.8MiB,2.5GiB,12.76 
38.041,edge2-edge2-minio-1,14.38,353.8MiB,2GiB,17.27 
38.234,edge2-edge2-mysql-1,0.49,376.4MiB,1GiB,36.75 
38.349,edge1-edge1-api-1,98.96,369.7MiB,2.5GiB,14.44 
38.471,edge1-edge1-mysql-1,2.04,376.3MiB,1GiB,36.75 
38.616,edge1-edge1-minio-1,13.50,351.2MiB,2GiB,17.15 
38.772,cloud_api_poc1,53.84,73.75MiB,2GiB,3.60 
38.908,cloud_mysql_poc1,1.40,367.8MiB,512MiB,71.84 
39.024,cloud_minio_poc1,7.52,330.6MiB,1GiB,32.28 
39.143, ,,,,
39.275,edge3-edge3-api-1,109.42,365.9MiB,2.5GiB,14.29
39.412,edge3-edge3-mysql-1,0.39,376.3MiB,1GiB,36.75
39.536,edge3-edge3-minio-1,7.17,355.3MiB,2GiB,17.35
39.650,edge2-edge2-api-1,79.15,323.9MiB,2.5GiB,12.65
39.773,edge2-edge2-minio-1,5.48,353.9MiB,2GiB,17.28
39.951,edge2-edge2-mysql-1,0.69,376.4MiB,1GiB,36.75
40.088,edge1-edge1-api-1,86.62,373.2MiB,2.5GiB,14.58
40.232,edge1-edge1-mysql-1,1.35,376.3MiB,1GiB,36.75
