elapsed_sec,container_name,cpu_percent,mem_used,mem_limit,mem_percent
46.186,edge1-edge1-api-1,368.90,1.026GiB,9.5GiB,10.80
46.319,edge1-edge1-mysql-1,0.78,380.8MiB,3.5GiB,10.62
46.444,edge1-edge1-minio-1,37.02,454.5MiB,7GiB,6.34
47.036,edge1-edge1-api-1,368.90,1.026GiB,9.5GiB,10.80
47.160,edge1-edge1-mysql-1,0.78,380.8MiB,3.5GiB,10.62
47.280,edge1-edge1-minio-1,37.02,454.5MiB,7GiB,6.34
47.737, ,,,,
48.099,edge1-edge1-minio-1,50.16,465.2MiB,7GiB,6.49
48.212,edge1-edge1-api-1,368.58,1.043GiB,9.5GiB,10.98 
48.351,edge1-edge1-mysql-1,2.37,380.8MiB,3.5GiB,10.62 
48.586, ,,,,
49.052,edge1-edge1-api-1,368.58,1.043GiB,9.5GiB,10.98 
49.169,edge1-edge1-mysql-1,2.37,380.8MiB,3.5GiB,10.62 
49.288,edge1-edge1-minio-1,50.16,465.2MiB,7GiB,6.49 
49.430, ,,,,
50.032,edge1-edge1-mysql-1,0.53,380.8MiB,3.5GiB,10.62 
50.171,edge1-edge1-minio-1,34.48,461.4MiB,7GiB,6.44 
50.302, ,,,,
50.430,edge1-edge1-api-1,380.56,1.047GiB,9.5GiB,11.02
51.060,edge1-edge1-minio-1,34.48,461.4MiB,7GiB,6.44 
51.196, ,,,,
51.313,edge1-edge1-api-1,371.07,1.04GiB,9.5GiB,10.95
51.448,edge1-edge1-mysql-1,0.55,380.8MiB,3.5GiB,10.62
52.019,edge1-edge1-minio-1,40.03,464.7MiB,7GiB,6.48 
52.134, ,,,,
52.246,edge1-edge1-api-1,371.07,1.04GiB,9.5GiB,10.95
52.363,edge1-edge1-mysql-1,0.55,380.8MiB,3.5GiB,10.62
53.031, ,,,,
53.166,edge1-edge1-api-1,361.64,1.038GiB,9.5GiB,10.93
53.297,edge1-edge1-mysql-1,0.46,380.8MiB,3.5GiB,10.62
53.425,edge1-edge1-minio-1,36.23,467.4MiB,7GiB,6.52
54.083,edge1-edge1-api-1,361.64,1.038GiB,9.5GiB,10.93
54.247,edge1-edge1-mysql-1,0.46,380.8MiB,3.5GiB,10.62
54.391,edge1-edge1-minio-1,36.23,467.4MiB,7GiB,6.52
54.895, ,,,,
55.014,edge1-edge1-api-1,358.05,1.039GiB,9.5GiB,10.93
55.130,edge1-edge1-mysql-1,0.50,380.8MiB,3.5GiB,10.62
55.252,edge1-edge1-minio-1,35.01,469.5MiB,7GiB,6.55
55.768, ,,,,
56.013,edge1-edge1-mysql-1,0.50,380.8MiB,3.5GiB,10.62
56.131,edge1-edge1-minio-1,35.01,469.5MiB,7GiB,6.55
56.252,edge1-edge1-api-1,358.05,1.039GiB,9.5GiB,10.93 
56.619, ,,,,
57.090,edge1-edge1-api-1,368.80,1.039GiB,9.5GiB,10.93 
57.210,edge1-edge1-mysql-1,2.16,380.8MiB,3.5GiB,10.62 
57.326,edge1-edge1-minio-1,45.08,471.7MiB,7GiB,6.58 
57.444, ,,,,
58.052,edge1-edge1-mysql-1,2.16,380.8MiB,3.5GiB,10.62 
58.182,edge1-edge1-minio-1,45.08,471.7MiB,7GiB,6.58 
58.305, ,,,,
58.427,edge1-edge1-api-1,374.66,1.065GiB,9.5GiB,11.21
59.039,edge1-edge1-minio-1,41.45,472.6MiB,7GiB,6.59 
59.146, ,,,,
59.237,edge1-edge1-api-1,374.66,1.065GiB,9.5GiB,11.21
59.306,edge1-edge1-mysql-1,0.42,380.8MiB,3.5GiB,10.62
