elapsed_sec,container_name,cpu_percent,mem_used,mem_limit,mem_percent
24.333,cloud_mysql_poc1,0.30,367.8MiB,512MiB,71.84 
24.413,cloud_minio_poc1,1.73,276.7MiB,1GiB,27.02 
24.495, ,,,,
24.576,edge3-edge3-api-1,17.03,373MiB,2.5GiB,14.57
24.658,edge3-edge3-minio-1,1.16,261MiB,2GiB,12.75
24.737,edge3-edge3-mysql-1,0.30,376.3MiB,1GiB,36.75
24.818,edge2-edge2-api-1,19.40,328.2MiB,2.5GiB,12.82
24.897,edge2-edge2-mysql-1,0.30,376.3MiB,1GiB,36.75
24.976,edge2-edge2-minio-1,1.20,252.5MiB,2GiB,12.33
25.054,edge1-edge1-api-1,12.74,362.4MiB,2.5GiB,14.16
25.135,edge1-edge1-mysql-1,0.38,376.3MiB,1GiB,36.75
25.217,edge1-edge1-minio-1,1.11,270.8MiB,2GiB,13.22
25.298,cloud_api_poc1,17.79,63.68MiB,2GiB,3.11
25.376,cloud_mysql_poc1,0.29,367.8MiB,512MiB,71.84
25.458,cloud_minio_poc1,2.26,290.9MiB,1GiB,28.41
25.539,edge3-edge3-api-1,17.03,373MiB,2.5GiB,14.57 
25.616,edge3-edge3-minio-1,1.16,261MiB,2GiB,12.75 
25.698,edge3-edge3-mysql-1,0.30,376.3MiB,1GiB,36.75 
25.783,edge2-edge2-api-1,19.40,328.2MiB,2.5GiB,12.82 
25.866,edge2-edge2-mysql-1,0.30,376.3MiB,1GiB,36.75 
25.942,edge2-edge2-minio-1,1.20,252.5MiB,2GiB,12.33 
26.022,edge1-edge1-api-1,12.74,362.4MiB,2.5GiB,14.16 
26.106,edge1-edge1-mysql-1,0.38,376.3MiB,1GiB,36.75 
26.194,edge1-edge1-minio-1,1.11,270.8MiB,2GiB,13.22 
26.277,cloud_api_poc1,17.79,63.68MiB,2GiB,3.11 
26.360,cloud_mysql_poc1,0.29,367.8MiB,512MiB,71.84 
26.441,cloud_minio_poc1,2.26,290.9MiB,1GiB,28.41 
26.519, ,,,,
26.600,edge3-edge3-api-1,17.03,373MiB,2.5GiB,14.57
26.683,edge3-edge3-minio-1,1.16,261MiB,2GiB,12.75
26.764,edge3-edge3-mysql-1,0.30,376.3MiB,1GiB,36.75
26.843,edge2-edge2-api-1,19.40,328.2MiB,2.5GiB,12.82
26.923,edge2-edge2-mysql-1,0.30,376.3MiB,1GiB,36.75
27.007,edge2-edge2-minio-1,1.20,252.5MiB,2GiB,12.33
27.084,edge1-edge1-api-1,12.74,362.4MiB,2.5GiB,14.16
27.163,edge1-edge1-mysql-1,0.38,376.3MiB,1GiB,36.75
27.243,edge1-edge1-minio-1,1.11,270.8MiB,2GiB,13.22
27.332,cloud_api_poc1,17.79,63.68MiB,2GiB,3.11
27.424,cloud_mysql_poc1,0.29,367.8MiB,512MiB,71.84
27.510,cloud_minio_poc1,2.26,290.9MiB,1GiB,28.41
27.592,edge3-edge3-api-1,17.03,373MiB,2.5GiB,14.57 
27.678,edge3-edge3-minio-1,1.16,261MiB,2GiB,12.75 
27.766,edge3-edge3-mysql-1,0.30,376.3MiB,1GiB,36.75 
27.845,edge2-edge2-api-1,19.40,328.2MiB,2.5GiB,12.82 
27.932,edge2-edge2-mysql-1,0.30,376.3MiB,1GiB,36.75 
28.020,edge2-edge2-minio-1,1.20,252.5MiB,2GiB,12.33 
28.098,edge1-edge1-api-1,12.74,362.4MiB,2.5GiB,14.16 
28.174,edge1-edge1-mysql-1,0.38,376.3MiB,1GiB,36.75 
28.254,edge1-edge1-minio-1,1.11,270.8MiB,2GiB,13.22 
28.333,cloud_api_poc1,17.79,63.68MiB,2GiB,3.11 
28.415,cloud_mysql_poc1,0.29,367.8MiB,512MiB,71.84 
28.497,cloud_minio_poc1,2.26,290.9MiB,1GiB,28.41 
28.579, ,,,,
28.686,edge3-edge3-api-1,16.47,374MiB,2.5GiB,14.61
28.765,edge3-edge3-minio-1,1.49,269.5MiB,2GiB,13.16
28.851,edge3-edge3-mysql-1,0.30,376.3MiB,1GiB,36.75
28.934,edge2-edge2-api-1,15.03,328.2MiB,2.5GiB,12.82
29.017,edge2-edge2-mysql-1,1.08,376.3MiB,1GiB,36.75
29.099,edge2-edge2-minio-1,1.59,260.9MiB,2GiB,12.74
29.176,edge1-edge1-api-1,14.86,365.1MiB,2.5GiB,14.26
29.280,edge1-edge1-mysql-1,0.36,376.3MiB,1GiB,36.75
29.356,edge1-edge1-minio-1,1.26,278.9MiB,2GiB,13.62
29.436,cloud_api_poc1,19.41,64.23MiB,2GiB,3.14
29.519,cloud_mysql_poc1,0.30,367.8MiB,512MiB,71.84
29.608,cloud_minio_poc1,3.02,309.1MiB,1GiB,30.18
29.690,edge3-edge3-api-1,16.47,374MiB,2.5GiB,14.61 
29.772,edge3-edge3-minio-1,1.49,269.5MiB,2GiB,13.16 
29.851,edge3-edge3-mysql-1,0.30,376.3MiB,1GiB,36.75 
29.935,edge2-edge2-api-1,15.03,328.2MiB,2.5GiB,12.82 
30.019,edge2-edge2-mysql-1,1.08,376.3MiB,1GiB,36.75 
30.099,edge2-edge2-minio-1,1.59,260.9MiB,2GiB,12.74 
30.182,edge1-edge1-api-1,14.86,365.1MiB,2.5GiB,14.26 
30.263,edge1-edge1-mysql-1,0.36,376.3MiB,1GiB,36.75 
30.342,edge1-edge1-minio-1,1.26,278.9MiB,2GiB,13.62 
30.419,cloud_api_poc1,19.41,64.23MiB,2GiB,3.14 
30.497,cloud_mysql_poc1,0.30,367.8MiB,512MiB,71.84 
30.575,cloud_minio_poc1,3.02,309.1MiB,1GiB,30.18 
30.658, ,,,,
30.744,edge3-edge3-api-1,16.47,374MiB,2.5GiB,14.61
30.822,edge3-edge3-minio-1,1.49,269.5MiB,2GiB,13.16
30.903,edge3-edge3-mysql-1,0.30,376.3MiB,1GiB,36.75
30.988,edge2-edge2-api-1,15.03,328.2MiB,2.5GiB,12.82
31.069,edge2-edge2-mysql-1,1.08,376.3MiB,1GiB,36.75
31.153,edge2-edge2-minio-1,1.59,260.9MiB,2GiB,12.74
31.238,edge1-edge1-api-1,14.86,365.1MiB,2.5GiB,14.26
31.321,edge1-edge1-mysql-1,0.36,376.3MiB,1GiB,36.75
